        dimension     Birth     Death
   [1,]         0 0.0000000       Inf
 [585,]         0 0.0000000 0.6298027
 [586,]         0 0.0000000 0.6294960
 [587,]         0 0.0000000 0.6294422
 [588,]         0 0.0000000 0.6293113
 [589,]         0 0.0000000 0.6290725
 [590,]         0 0.0000000 0.6289644
 [591,]         0 0.0000000 0.6284079
 [592,]         0 0.0000000 0.6273239
 [593,]         0 0.0000000 0.6272145
 [594,]         0 0.0000000 0.6269095
 [595,]         0 0.0000000 0.6266590
 [596,]         0 0.0000000 0.6262629
 [597,]         0 0.0000000 0.6260912
 [598,]         0 0.0000000 0.6258926
 [599,]         0 0.0000000 0.6258229
 [600,]         0 0.0000000 0.6256565
 [601,]         0 0.0000000 0.6253865
 [602,]         0 0.0000000 0.6252643
 [603,]         0 0.0000000 0.6250202
 [604,]         0 0.0000000 0.6249116
 [605,]         0 0.0000000 0.6248460
 [606,]         0 0.0000000 0.6247099
 [607,]         0 0.0000000 0.6238888
 [608,]         0 0.0000000 0.6238768
 [609,]         0 0.0000000 0.6235022
 [610,]         0 0.0000000 0.6234890
 [611,]         0 0.0000000 0.6232971
 [612,]         0 0.0000000 0.6230419
 [613,]         0 0.0000000 0.6225540
 [614,]         0 0.0000000 0.6222839
 [615,]         0 0.0000000 0.6218362
 [616,]         0 0.0000000 0.6211288
 [617,]         0 0.0000000 0.6209883
 [618,]         0 0.0000000 0.6209301
 [619,]         0 0.0000000 0.6208941
 [620,]         0 0.0000000 0.6201673
 [621,]         0 0.0000000 0.6200343
 [622,]         0 0.0000000 0.6200214
 [623,]         0 0.0000000 0.6197203
 [624,]         0 0.0000000 0.6197195
 [625,]         0 0.0000000 0.6196311
 [626,]         0 0.0000000 0.6193547
 [627,]         0 0.0000000 0.6188572
 [628,]         0 0.0000000 0.6187968
 [629,]         0 0.0000000 0.6182837
 [630,]         0 0.0000000 0.6181337
 [631,]         0 0.0000000 0.6181058
 [632,]         0 0.0000000 0.6180520
 [633,]         0 0.0000000 0.6177999
 [634,]         0 0.0000000 0.6176514
 [635,]         0 0.0000000 0.6175387
 [636,]         0 0.0000000 0.6166898
 [637,]         0 0.0000000 0.6163508
 [638,]         0 0.0000000 0.6161309
 [639,]         0 0.0000000 0.6158419
 [640,]         0 0.0000000 0.6156251
 [641,]         0 0.0000000 0.6153706
 [642,]         0 0.0000000 0.6151108
 [643,]         0 0.0000000 0.6151071
 [644,]         0 0.0000000 0.6144083
 [645,]         0 0.0000000 0.6142868
 [646,]         0 0.0000000 0.6141201
 [647,]         0 0.0000000 0.6140566
 [648,]         0 0.0000000 0.6138782
 [649,]         0 0.0000000 0.6138628
 [650,]         0 0.0000000 0.6135921
 [651,]         0 0.0000000 0.6133360
 [652,]         0 0.0000000 0.6127408
 [653,]         0 0.0000000 0.6125327
 [654,]         0 0.0000000 0.6124900
 [655,]         0 0.0000000 0.6123941
 [656,]         0 0.0000000 0.6123339
 [657,]         0 0.0000000 0.6123008
 [658,]         0 0.0000000 0.6122479
 [659,]         0 0.0000000 0.6113520
 [660,]         0 0.0000000 0.6111281
 [661,]         0 0.0000000 0.6110978
 [662,]         0 0.0000000 0.6109955
 [663,]         0 0.0000000 0.6109452
 [664,]         0 0.0000000 0.6107948
 [665,]         0 0.0000000 0.6105655
 [666,]         0 0.0000000 0.6104249
 [667,]         0 0.0000000 0.6104097
 [668,]         0 0.0000000 0.6102106
 [669,]         0 0.0000000 0.6098592
 [670,]         0 0.0000000 0.6093490
 [671,]         0 0.0000000 0.6076189
 [672,]         0 0.0000000 0.6074045
 [673,]         0 0.0000000 0.6069953
 [674,]         0 0.0000000 0.6062396
 [675,]         0 0.0000000 0.6058690
 [676,]         0 0.0000000 0.6054422
 [677,]         0 0.0000000 0.6048415
 [678,]         0 0.0000000 0.6041213
 [679,]         0 0.0000000 0.6040151
 [680,]         0 0.0000000 0.6028976
 [681,]         0 0.0000000 0.6009428
 [682,]         1 1.4871940 3.7791577
 [683,]         1 1.4184489 3.0697299
 [684,]         1 1.4051858 3.0214933
 [685,]         1 1.5029555 2.9396641
 [686,]         1 1.7560165 2.7517695
 [687,]         1 1.7060783 2.6480326
 [688,]         1 1.9095857 2.7948659
 [689,]         1 1.9702881 2.8526707
 [690,]         1 1.4619772 2.3381738
 [691,]         1 1.5613931 2.4325503
 [692,]         1 1.7219864 2.5192569
 [693,]         1 1.4961250 2.2925491
 [694,]         1 1.7242826 2.5128027
 [695,]         1 1.7630347 2.5463244
 [696,]         1 2.0491700 2.8154669
